ss,sex,age,bp_index,bp_trial1,bp_intrusions,verbgen_ir,ospan,rspan,num_series,rapm,gen_know,text_comp,shipley_vocab
6969,1,18,0.461538462,0.65,0,33,0.933333333,0.92,NA,0.777777778,NA,NA,NA
6994,1,19,0.43,0.7,3,-117,0.786666667,0.88,NA,0.555555556,NA,NA,NA
7125,1,19,0.3,0.85,0,320,0.866666667,0.24,0.93,0.111111111,0.375,0.333333333,0.75
7141,2,21,-0.11,0.55,0,-164,0.573333333,0.373333333,0.27,0.222222222,0.375,0.333333333,0.575
7172,1,20,0.5,0.7,1,937,0.92,0.76,1,0.777777778,0.666666667,0.666666667,0.825
7215,1,20,0.470588235,0.85,4,792.5,0.373333333,0.333333333,0.87,0.555555556,0.583333333,0.6,0.725
7244,1,21,0.5,0.6,5,1181.5,0.746666667,0.826666667,0.8,0.611111111,0.5,0.2,0.7
7245,1,21,0.076923077,0.65,1,639.5,0.973333333,0.946666667,0.67,0.722222222,0.75,0.733333333,0.825
7279,2,19,0.11,0.95,1,213,0.733333333,0.986666667,0.33,0.333333333,0.458333333,0.266666667,0.65
7420,1,26,0.222222222,0.45,1,3540.5,0.706666667,0.693333333,0.4,0.5,0.5,0.6,0.8
7467,1,19,0.41,0.75,1,425,0.96,0.866666667,0.87,0.388888889,0.416666667,0.866666667,0.8
7494,2,19,0.69,0.7,0,536,0.773333333,0.786666667,NA,0.611111111,NA,NA,NA
7566,2,18,0.18,0.55,2,-95,0.853333333,0.813333333,0.47,0.222222222,0.5,0.266666667,0.55
7585,1,29,-0.076923077,0.65,1,1019.5,0.92,0.88,0.73,0.611111111,0.625,0.666666667,0.8
7591,2,22,0.59,0.6,0,459,0.48,0.666666667,0.47,0.555555556,0.458333333,0.533333333,0.675
7623,1,23,0.315789474,0.95,1,2487,0.6,0.346666667,0.73,0.388888889,0.541666667,0.333333333,0.6
7638,1,18,0.615384615,0.65,3,976,0.76,0.84,0.47,0.722222222,0.5,0.8,0.825
7676,2,20,0.9,0.6,14,31,NA,NA,0.07,0.111111111,0.291666667,0.066666667,0.65
7684,1,18,0.384615385,0.65,3,1183.5,0.826666667,0.84,NA,0.388888889,NA,NA,NA
7749,1,18,0.444444444,0.9,0,695,0.653333333,0.36,0.53,0.388888889,0.75,0.666666667,0.8
7756,2,19,0.19,0.75,0,370,0.72,0.506666667,0.53,0.777777778,0.625,0.6,0.7
7790,1,23,0.77,0.65,2,675,0.933333333,0.92,0.2,0.277777778,0.458333333,0.133333333,0.7
7860,1,23,NA,NA,NA,996,0.826666667,0.773333333,0.6,0.555555556,0.5,0.333333333,0.675
7861,2,20,0.31,0.8,5,757,0.853333333,0.786666667,0.6,0.555555556,0.5,0.733333333,0.8
7865,2,19,0.54,0.85,3,54,0.573333333,0.733333333,0.4,0.5,0.416666667,0.333333333,0.65
7911,2,19,0.43,0.65,1,212,0.706666667,0.68,0.6,0.388888889,0.333333333,0.466666667,0.725
7923,1,24,0.642857143,0.7,3,664,0.733333333,0.44,0.47,0.277777778,0.125,0.133333333,0.5
7986,2,19,0.32,0.75,2,773,0.786666667,0.84,0.67,0.722222222,0.75,0.6,0.75
8086,2,28,0.64,0.7,1,564,0.106666667,0.266666667,0.27,0.277777778,0.333333333,0.2,0.4
8107,1,37,0.7,0.45,3,173,NA,NA,NA,0.388888889,NA,NA,NA
8123,1,19,0.125,0.8,0,841.5,0.973333333,0.986666667,0.67,0.666666667,0.708333333,0.666666667,0.825
8210,2,19,0.4,0.5,0,1122,0.546666667,0.613333333,0.47,0.388888889,0.416666667,0.333333333,0.55
8229,1,18,0.5,0.8,0,28,0.88,0.813333333,0.33,0.722222222,0.416666667,0.4,0.75
8263,2,19,0.63,0.8,6,511,0.773333333,0.84,0.67,0.222222222,0.666666667,0.666666667,0.85
8313,2,21,0.38,0.65,2,348,0.826666667,1,0.6,0.777777778,0.666666667,0.466666667,0.75
8367,2,18,0.22,0.8,0,105,0.746666667,0.72,0.67,0.666666667,0.666666667,0.733333333,0.8
8386,2,18,0.22,0.7,2,25,0.986666667,0.826666667,0.4,0.5,0.708333333,0.533333333,0.75
8394,2,30,0.45,0.45,2,970,0.24,0.106666667,0.33,0.222222222,0.458333333,0.266666667,0.525
8401,1,29,0.34,0.85,13,212,0.72,0.706666667,0.6,0.388888889,0.625,0.6,0.875
